item_id,item_name,category,is_available,created_at,start_date,end_date
1,Personal Loan Basic,Loan Product,True,2025-01-01 10:00:00,2025-06-01 00:00:00,
2,Personal Loan Plus,Loan Product,True,2025-01-02 10:00:00,2025-06-01 00:00:00,
3,Home Loan Standard,Loan Product,True,2025-01-03 10:00:00,2025-06-01 00:00:00,
4,Education Loan Basic,Loan Product,True,2025-01-04 10:00:00,2025-06-01 00:00:00,
5,Vehicle Loan,Loan Product,True,2025-01-05 10:00:00,2025-06-01 00:00:00,
6,Fixed Deposit - 1 Year,Investment Option,True,2025-01-06 10:00:00,2025-06-01 00:00:00,
7,Fixed Deposit - 5 Years,Investment Option,True,2025-01-07 10:00:00,2025-06-01 00:00:00,
8,Mutual Fund - Growth Plan,Investment Option,True,2025-01-08 10:00:00,2025-06-01 00:00:00,
9,Mutual Fund - Tax Saver,Investment Option,True,2025-01-09 10:00:00,2025-06-01 00:00:00,
10,Corporate Bond,Investment Option,True,2025-01-10 10:00:00,2025-06-01 00:00:00,
11,Silver Credit Card,Credit Card,True,2025-01-11 10:00:00,2025-06-01 00:00:00,
12,Gold Credit Card,Credit Card,False,2024-11-01 10:00:00,2025-01-01 00:00:00,2025-06-01 00:00:00
13,Platinum Credit Card,Credit Card,True,2025-01-12 10:00:00,2025-06-01 00:00:00,
14,Life Insurance - Term Plan,Insurance,True,2025-01-13 10:00:00,2025-06-01 00:00:00,
15,Health Insurance - Basic,Insurance,True,2025-01-14 10:00:00,2025-06-01 00:00:00,
16,Accident Cover,Insurance,True,2025-01-15 10:00:00,2025-06-01 00:00:00,
17,EMI Calculator,Utility,True,2025-01-16 10:00:00,2025-06-01 00:00:00,
18,Credit Score Checker,Utility,True,2025-01-17 10:00:00,2025-06-01 00:00:00,
19,Loan Eligibility Calculator,Utility,True,2025-01-18 10:00:00,2025-06-01 00:00:00,
20,FAQ Page,Utility,True,2025-01-19 10:00:00,2025-06-01 00:00:00,
21,Cashback on Personal Loan,Promotion,True,2025-01-20 10:00:00,2025-06-01 00:00:00,
22,Special Rate for FDs,Promotion,True,2025-01-21 10:00:00,2025-06-01 00:00:00,
23,New User Signup Offer,Promotion,True,2025-01-22 10:00:00,2025-06-01 00:00:00,
24,Apply for Loan Button,App Feature,True,2025-01-23 10:00:00,2025-06-01 00:00:00,
25,Track Application Feature,App Feature,True,2025-01-24 10:00:00,2025-06-01 00:00:00,
26,Document Upload,App Feature,True,2025-01-25 10:00:00,2025-06-01 00:00:00,
27,In-app Chat Support,Utility,True,2025-01-26 10:00:00,2025-06-01 00:00:00,
28,Blog: How to Improve Credit Score,Education Content,True,2025-01-27 10:00:00,2025-06-01 00:00:00,
29,Video: FD vs Mutual Funds,Education Content,True,2025-01-28 10:00:00,2025-06-01 00:00:00,
30,RBI Guidelines Update,App Notification,True,2025-01-29 10:00:00,2025-06-01 00:00:00,
